,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7
Installment_Purchases,0.021621419464636717,-0.0960677045541921,-0.16738185612451933,-0.08199288339483632,0.03578999907454488,-0.09849946825343342,0.024402788248348836
None_Of_the_Purchases,-0.11165754834065975,0.04902826977973064,0.0565895947081978,0.011715646493759732,0.038701167687470416,-0.07962327249940929,0.13286313422069077
One_Of_Purchase,-0.03027171025816426,-0.008405849791893018,0.1467266827720321,0.05292533195514557,-0.05124494638587791,0.10232267205432681,-0.051699785568767406
BALANCE_FREQUENCY,0.0717343323431483,0.2916414170198515,-0.3209552008983229,0.42205741576055483,-0.09448422229490266,0.2960626072168241,0.46007848106089594
ONEOFF_PURCHASES,0.30270901541709705,0.22655385462451838,0.462987553740338,0.05625818470496285,-0.0023243586898722525,-0.048949665310964084,0.08220622370720103
INSTALLMENTS_PURCHASES,0.3273992919480362,0.13903037853078967,-0.11001404759283022,-0.09789380401084281,0.20927630497857205,-0.47394746763944345,0.13139921506991575
PURCHASES_FREQUENCY,0.3817133863186679,-0.011713499337494422,-0.37127814945583487,-0.05138038185729096,-0.08153810808610551,0.2461915334941138,-0.227259633939667
ONEOFF_PURCHASES_FREQUENCY,0.2886183265228308,0.15673379466511764,0.24806605493885261,0.11611514991177684,-0.22736331201117185,0.5387024763577544,-0.2695484780468169
PURCHASES_INSTALLMENTS_FREQUENCY,0.33182859710699125,-0.030934280770527015,-0.5251539141392318,-0.11960896007216426,0.06319254526647461,-0.06453500387085148,-0.14578051491809846
CASH_ADVANCE_FREQUENCY,-0.21853131454354208,0.46087761927369275,-0.0719479232516582,-0.2182158660287376,-0.04580699563863699,0.04383230829210401,-0.008000975781895608
CASH_ADVANCE_TRX,-0.17351631628425937,0.45129153229794144,-0.09240444688990757,-0.33616402665176914,-0.08074757963338952,0.05585408860529579,-0.08059354047621028
PURCHASES_TRX,0.38152007139546396,0.19636500923187816,-0.0032927125329755753,0.004897037462325319,0.06271969602896364,-0.06843107139638821,-0.15335180520451902
PRC_FULL_PAYMENT,0.18975217569175692,-0.17364965703775917,0.009247933712117056,-0.43228880753353244,-0.30007424458613197,0.17522052746534894,0.70561341472227
Monthly_Avg_Purchase,0.37256518068252165,0.2364240792831715,0.3132576362050508,-0.002180078740322383,0.08395690133772998,-0.23603320034528696,0.11777749383292441
Monthly_Avg_Cash,-0.16498787452830438,0.4026365036155045,-0.04430236586080276,-0.3556389025624081,-0.05384006008822101,-0.005921749191123484,-0.07991873170480458
Limit_Usage,-0.13210594705029025,0.3208328741110156,-0.1554386191808501,0.49782841352895874,0.19083584773975898,-0.07933378543367499,0.1886517093046538
Pay_to_MinimumPay,0.012605988453544334,-0.0345580288588551,0.06740087757842309,-0.2172332395110409,0.8547324567916073,0.4487435139937474,0.11837865303755779
