,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
CASH_ADVANCE,978.9596159909487,2143.8402490767835,159.17658291354724,697.3709909790274,4298.965392912622,246.18800438922474,615.0586734466948,566.7966789382353,346.87897707907007,933.9810922291944,262.2070407942714,593.3077338789809,5114.47614717193,5122.469654595069,262.1610294332305,591.4242172634921,345.1332339328906,480.27306266666665,938.674719711023,358.0321235547756,953.8470254561403,950.6764817202177,270.82828313838127,5164.323236021712,330.49827427931285,417.32125585714283,265.2948236625387,5200.239173603702,554.7743033969957,360.81990813714316,987.9155291026,291.4358422113174,417.32125585714283,1459.5999160714289
PURCHASES_FREQUENCY,0.4904053422728799,0.15017290093786573,0.6407005840017832,0.9540355090562429,0.259191642394822,0.8845235790838363,0.17299370963608451,0.9502168823529413,0.28359400996677747,0.16028650099075242,0.8978012328303036,0.9485894012738856,0.3081441204678364,0.30874008920187807,0.8975109550769216,0.9487526095238098,0.2827080737541529,0.5555555,0.1592234995034751,0.2610229016853933,0.9347953157894738,0.1472790752212384,0.8768491257615302,0.29295803739445125,0.9084939283047039,0.47619042857142857,0.8795107417072076,0.29649094938271614,0.9600294957081551,0.2565374414285716,0.13098949894588868,0.8409375269672853,0.47619042857142857,0.9339285357142858
ONEOFF_PURCHASES_FREQUENCY,0.2024803070734184,0.0840932230363425,0.1735974077540123,0.7111201382268821,0.13263048462783184,0.2976074917891108,0.09103271143003569,0.7642933676470585,0.07741100930232545,0.09182040158520513,0.32107312380659164,0.7638390414012733,0.1580007380116958,0.15836146009389665,0.3210588000000009,0.7645887587301582,0.07818620265780717,0.0,0.09106769612711062,0.08106417766853918,0.7386762719298244,0.09035449421375129,0.08354946214099253,0.14906571893848,0.7702151867064966,0.0,0.08075666475011087,0.1508601135802468,0.7089947746781118,0.07473469285714282,0.07384992129304331,0.7423770221043328,0.0,0.7994047857142857
PURCHASES_INSTALLMENTS_FREQUENCY,0.3644780653704318,0.07242807854630719,0.4949856675579318,0.7560475948522396,0.1600388543689321,0.7166468115816758,0.07950410635571505,0.7829414029411763,0.19512313421926908,0.06916166842800536,0.7216213957499221,0.7874509554140124,0.1968047789473685,0.19730213497652588,0.720904001846153,0.788125714285714,0.19351737541528227,0.5555555,0.06879781496193323,0.17124429283707845,0.8139686315789476,0.05873935159972774,0.8233243342036534,0.18643510373944513,0.5247246758775207,0.47619042857142857,0.8301031583370173,0.19002263950617287,0.8427885729613738,0.17254210285714267,0.05759587069571334,0.36052139257294424,0.47619042857142857,0.7726190357142856
CASH_ADVANCE_FREQUENCY,0.13514067784110123,0.2908283382180555,0.02742108088235292,0.08961089132507148,0.5213141618122975,0.04322401959089598,0.10093090466427451,0.06225488235294117,0.03634613355481735,0.1620813061426678,0.04569078903603324,0.06395964012738853,0.5794730771929828,0.5801790809859159,0.04572553599999997,0.06375659365079364,0.036429190697674495,0.034722166666666665,0.16264010758027084,0.03803957794943828,0.08187133333333332,0.1649430394826406,0.04368339686684076,0.5838687852834744,0.057181665421956754,0.04166657142857143,0.04301980672268911,0.5872666098765434,0.0718493755364807,0.03850120857142865,0.16996561278987996,0.055723155614500516,0.04166657142857143,0.07142853571428572
CASH_ADVANCE_TRX,3.2490781092859535,7.14390386869871,0.4790552584670232,2.4318398474737846,15.077669902912621,0.8127340823970037,1.8039466940030753,1.7058823529411764,0.7169435215946844,3.0521796565389696,0.8697259008315368,1.7579617834394905,17.987134502923976,18.016431924882628,0.8704615384615385,1.7523809523809524,0.7182724252491695,0.3333333333333333,3.0658722277391592,0.7556179775280899,2.56140350877193,3.1150442477876106,0.8520452567449956,18.21471652593486,1.116504854368932,0.42857142857142855,0.8359133126934984,18.380246913580248,1.7725321888412018,0.7635714285714286,3.2276879831342233,0.9929266136162688,0.42857142857142855,3.25
PURCHASES_TRX,14.711476142585763,2.996483001172333,12.564616755793226,62.00095328884652,6.69336569579288,22.800057620282338,3.031009738595592,95.33529411764705,4.351495016611295,2.9864597093791283,24.124422543886663,97.21337579617834,8.425730994152048,8.448356807511738,24.086153846153845,97.22539682539683,4.316279069767442,12.833333333333334,2.971201588877855,4.053370786516854,128.41228070175438,2.781484002722941,18.771975630983462,7.90832328106152,39.805078416728904,11.0,18.567890314020346,7.92716049382716,80.91630901287553,3.979285714285714,2.3886156008432886,25.448275862068964,11.0,154.10714285714286
CREDIT_LIMIT,4494.449450364621,4289.16213719871,3939.3063545434497,7537.273593898952,6128.600323624595,4409.686042214059,3623.1439976391594,9418.676470588236,3833.0494647468436,3616.27186661889,4543.522474514013,9543.152866242039,6728.245614035088,6729.049295774648,4539.020761460615,9531.904761904761,3835.8401624212624,4083.3333333333335,3619.9507487990727,3840.845817727528,11485.964912280702,3633.550446603812,3733.657616196693,6735.162846803378,6401.2675673838685,4571.428571428572,3713.575940743034,6757.592592592592,8326.072961373391,3814.8317460314283,3621.599160970485,5622.367173056587,4571.428571428572,15432.142857142857
PAYMENTS,1733.3365108509327,1753.3470792412102,1071.6651166764684,4499.118358045761,3027.524733572005,1423.1242570282352,1089.8026944994863,7580.9807494941115,1170.6088400784072,1095.4547670406203,1499.7082024157694,7888.191369671969,3609.801723236257,3607.512073985915,1498.9064952735393,7872.1712395555505,1162.72126183854,2502.9279888333335,1099.6143765210188,1159.6600966306203,12973.117983035088,1105.693057430224,1181.533025335945,3623.264447924005,2538.247226368181,2178.378507,1165.982855160992,3651.007888354321,5165.767484040768,1164.1294330528592,1102.9144967104687,1816.0089046693201,2178.378507,24033.806368357145
MINIMUM_PAYMENTS,845.0033584093704,1139.7925477233293,528.5643639762693,1240.0057350314592,1457.1441089457937,703.6278617228458,690.9482422141201,1830.9781958500018,180.90734208571416,1043.8839408604692,709.5486198732684,1881.4263222293007,1443.4113423771944,1445.186426497067,710.1906283493854,1876.0050009460333,181.42789152558123,0.9992843333333332,1045.5213932951012,182.89831288026653,2855.777934438596,1031.6238684819602,833.7283249073116,1448.8976579384814,618.3482337027644,0.873248857142857,797.8544991667413,1451.9557231129638,1497.0617086148102,183.03322484964255,1046.0123503172877,485.7771099310347,0.873248857142857,3630.480428107142
